symbol,tvlUsd,apy,pools,largest_pool_id,largest_pool_tvl,largest_pool_pct_of_tvl
USDC-CBBTC,45749225,0.1575045048811953,14,5894101d-2996-4758-b4f7-17f9e6d1321b,20935113,45.76058501537458
CRV-CVXCRV,45734229,0.17634250035967808,6,38160634-07f7-4dcd-a26e-0e0d27ef5a1b,22019832,48.14737775507268
USDC-RLUSD,45188466,0.10193695014259391,2,e91e23af-9099-45d9-8ba5-ea5b4638e453,42305939,93.6211001276299
SW-BFBTC,44542562,0.0682262,2,2a1865eb-8317-453a-9cfe-67a93e66ae2e,22271281,50.0
DRUSD,44370982,0.0799434,1,ea2f0902-8888-4a7e-ad8b-558088454b05,44370982,100.0
UNIETH,44367934,0.03934439139041273,6,ad383eed-61d8-4378-80bd-a197d9a11c79,35009039,78.90617354416366
WBTC.B-WBTC.B,44309898,0.06348979538830353,2,ffb4e407-6507-4615-b776-a0d99cfc1bbb,41878048,94.51172286607385
GTUSDC,43825365,0.0513265,1,ab439af4-9978-4542-bc65-2772dfb79e50,43825365,100.0
BYUSD-HONEY,43789518,0.04763440000000001,1,dfc8840e-aed8-411c-b679-aa173874d890,43789518,100.0
WHITE-WETH,43782973,0.0,1,9be33e76-5f9c-435f-a008-e33965f602d8,43782973,100.0
BYUSD-HONEY-STABLE,43778258,0.058666600000000006,1,f5d60da6-a777-45b5-b1fb-5ac4e588a9a1,43778258,100.0
WETH-CBBTC,42774416,0.08551349977324764,23,41d7618e-7064-49a4-bc1b-5767681f32a8,26650594,62.30498623289211
MBTC-USDC,42523471,0.0,1,5e2de886-05a4-4d29-a263-eba8c8a93d05,42523471,100.0
USDC-CRVUSD,42472762,0.059665651665003566,3,5faf730e-2c79-45a2-9459-fbcd185abf18,23477942,55.277643587200664
CRVUSD-SUSDE,42025145,0.04573789987733534,5,fd106377-2339-49f1-b7a5-8e479322b60d,36012905,85.69370789797394
SMUSDC,42011773,0.0594079,1,4a22de3c-271e-4152-b8d8-29053de06f37,42011773,100.0
